Month,Price,Change
Jan 1995,11.29,-
Feb 1995,18.2,61.13%
Mar 1995,12.66,-30.44%
Apr 1995,12.25,-3.23%
May 1995,12.25,0.01%
Jun 1995,11.62,-5.17%
Jul 1995,16.94,45.84%
Aug 1995,16.43,-3.05%
Sep 1995,17.3,5.29%
Oct 1995,14.86,-14.08%
Nov 1995,15.29,2.88%
Dec 1995,14.33,-6.25%
Jan 1996,14.66,2.31%
Feb 1996,21.6,47.30%
Mar 1996,17.22,-20.27%
Apr 1996,20.89,21.27%
May 1996,18.89,-9.53%
Jun 1996,16.79,-11.11%
Jul 1996,15.28,-9.04%
Aug 1996,14.63,-4.20%
Sep 1996,14.29,-2.33%
Oct 1996,13.54,-5.24%
Nov 1996,15.37,13.46%
Dec 1996,17.2,11.95%
Jan 1997,24.03,39.72%
Feb 1997,28.35,17.96%
Mar 1997,27.26,-3.85%
Apr 1997,21.13,-22.48%
May 1997,13.97,-33.90%
Jun 1997,16.83,20.49%
Jul 1997,15.72,-6.58%
Aug 1997,15.09,-4.04%
Sep 1997,16.39,8.60%
Oct 1997,13.77,-15.99%
Nov 1997,15.98,16.04%
Dec 1997,16.47,3.11%
Jan 1998,18.1,9.90%
Feb 1998,17.12,-5.43%
Mar 1998,17.78,3.83%
Apr 1998,30.53,71.76%
May 1998,26.65,-12.73%
Jun 1998,27.88,4.65%
Jul 1998,19.55,-29.87%
Aug 1998,14.96,-23.50%
Sep 1998,14.88,-0.51%
Oct 1998,13.97,-6.10%
Nov 1998,23.73,69.83%
Dec 1998,16.17,-31.86%
Jan 1999,20.83,28.81%
Feb 1999,19.11,-8.24%
Mar 1999,19.1,-0.08%
Apr 1999,17.94,-6.03%
May 1999,14.11,-21.35%
Jun 1999,12.51,-11.37%
Jul 1999,15.15,21.11%
Aug 1999,15.21,0.40%
Sep 1999,15.24,0.18%
Oct 1999,14.34,-5.90%
Nov 1999,14.32,-0.13%
Dec 1999,15.22,6.27%
Jan 2000,20.9,37.35%
Feb 2000,25.3,21.00%
Mar 2000,20.92,-17.29%
Apr 2000,20.95,0.12%
May 2000,18.47,-11.84%
Jun 2000,17.43,-5.62%
Jul 2000,13.88,-20.36%
Aug 2000,15.08,8.62%
Sep 2000,19.27,27.82%
Oct 2000,17.61,-8.61%
Nov 2000,17.31,-1.73%
Dec 2000,21.04,21.54%
Jan 2001,24.67,17.25%
Feb 2001,32.1,30.13%
Mar 2001,25.18,-21.57%
Apr 2001,25.73,2.21%
May 2001,30.03,16.69%
Jun 2001,28.67,-4.51%
