Month,Price,Change
Jan 1995,10.98,-
Feb 1995,13.18,20.02%
Mar 1995,14.24,8.07%
Apr 1995,17.59,23.52%
May 1995,17.59,0.01%
Jun 1995,20.41,16.02%
Jul 1995,21.65,6.08%
Aug 1995,19.27,-11.00%
Sep 1995,17.96,-6.79%
Oct 1995,19.01,5.83%
Nov 1995,19.46,2.37%
Dec 1995,15.38,-20.95%
Jan 1996,15.02,-2.34%
Feb 1996,15.74,4.80%
Mar 1996,16.19,2.84%
Apr 1996,18.15,12.09%
May 1996,18.2,0.27%
Jun 1996,19.59,7.69%
Jul 1996,18.83,-3.91%
Aug 1996,18.92,0.47%
Sep 1996,18.94,0.11%
Oct 1996,16.75,-11.54%
Nov 1996,16.8,0.26%
Dec 1996,15.41,-8.25%
Jan 1997,15.07,-2.23%
Feb 1997,14.71,-2.34%
Mar 1997,15.07,2.38%
Apr 1997,16.12,6.99%
May 1997,16.83,4.44%
Jun 1997,15.76,-6.40%
Jul 1997,18.58,17.94%
Aug 1997,20.48,10.20%
Sep 1997,20.03,-2.19%
Oct 1997,17.75,-11.36%
Nov 1997,15.23,-14.19%
Dec 1997,13.73,-9.88%
Jan 1998,14.17,3.21%
Feb 1998,15.18,7.11%
Mar 1998,16.2,6.73%
Apr 1998,17.45,7.73%
May 1998,18.17,4.12%
Jun 1998,19.43,6.97%
Jul 1998,22.96,18.12%
Aug 1998,21.8,-5.05%
Sep 1998,21.26,-2.46%
Oct 1998,18.21,-14.36%
Nov 1998,18.22,0.08%
Dec 1998,16.17,-11.26%
Jan 1999,17.85,10.41%
Feb 1999,16.99,-4.85%
Mar 1999,18.67,9.91%
Apr 1999,19.23,2.97%
May 1999,18.82,-2.12%
Jun 1999,20.71,10.03%
Jul 1999,19.91,-3.84%
Aug 1999,21.3,6.95%
Sep 1999,20.46,-3.91%
Oct 1999,22.6,10.42%
Nov 1999,14.76,-34.70%
Dec 1999,14.78,0.20%
Jan 2000,15.24,3.10%
Feb 2000,13.96,-8.44%
Mar 2000,13.08,-6.30%
Apr 2000,14.84,13.46%
May 2000,18.03,21.50%
Jun 2000,19.22,6.60%
Jul 2000,17.91,-6.80%
Aug 2000,17.82,-0.51%
Sep 2000,16.52,-7.29%
Oct 2000,17.61,6.62%
Nov 2000,16.84,-4.39%
Dec 2000,14.49,-13.95%
Jan 2001,16.29,12.39%
Feb 2001,19.07,17.09%
Mar 2001,25.64,34.44%
Apr 2001,29.48,14.95%
May 2001,34.25,16.20%
Jun 2001,39.01,13.91%
Jul 2001,45.26,16.00%
Aug 2001,36.76,-18.78%
Sep 2001,27.63,-24.82%
Oct 2001,20.17,-27.02%
Nov 2001,22.56,11.85%
Dec 2001,20.6,-8.66%
Jan 2002,21.27,3.22%
Feb 2002,21.91,3.03%
Mar 2002,28.76,31.24%
Apr 2002,28.37,-1.33%
May 2002,31.36,10.53%
Jun 2002,31.34,-0.08%
Jul 2002,31.7,1.15%
Aug 2002,31.1,-1.89%
Sep 2002,30.52,-1.87%
Oct 2002,29.51,-3.32%
Nov 2002,23.16,-21.50%
Dec 2002,20.7,-10.64%
Jan 2003,26.36,27.36%
Feb 2003,24.35,-7.65%
Mar 2003,30.01,23.28%
Apr 2003,31.74,5.76%
May 2003,32.02,0.86%
Jun 2003,33.64,5.07%
Jul 2003,34.68,3.08%
Aug 2003,36.29,4.65%
Sep 2003,35.76,-1.45%
Oct 2003,38.13,6.61%
Nov 2003,30.04,-21.20%
Dec 2003,26.44,-11.98%
Jan 2004,32.72,23.75%
Feb 2004,37.58,14.83%
Mar 2004,41.86,11.41%
Apr 2004,37.78,-9.75%
May 2004,39.36,4.18%
Jun 2004,41.87,6.39%
Jul 2004,45.58,8.86%
Aug 2004,43.56,-4.43%
Sep 2004,41.49,-4.76%
Oct 2004,42.12,1.53%
Nov 2004,32.48,-22.89%
Dec 2004,30.35,-6.57%
Jan 2005,28,-7.72%
Feb 2005,32.32,15.41%
Mar 2005,48.5,50.04%
Apr 2005,51.18,5.53%
May 2005,47.84,-6.52%
Jun 2005,40.53,-15.27%
Jul 2005,32.65,-19.44%
Aug 2005,33.16,1.54%
Sep 2005,32.94,-0.66%
Oct 2005,36.75,11.59%
Nov 2005,40.24,9.48%
Dec 2005,38.81,-3.55%
Jan 2006,37.74,-2.76%
Feb 2006,36.35,-3.68%
Mar 2006,36.03,-0.90%
Apr 2006,35.96,-0.18%
May 2006,36.33,1.02%
Jun 2006,30.86,-15.06%
Jul 2006,33.91,9.90%
Aug 2006,38.63,13.90%
Sep 2006,40.59,5.07%
Oct 2006,47.29,16.51%
Nov 2006,41.72,-11.78%
Dec 2006,35.26,-15.48%
Jan 2007,35.47,0.60%
Feb 2007,37.1,4.58%
Mar 2007,35.66,-3.87%
Apr 2007,36.25,1.65%
May 2007,36.3,0.15%
Jun 2007,38.32,5.54%
Jul 2007,46.07,20.25%
Aug 2007,50.21,8.97%
Sep 2007,41.55,-17.24%
Oct 2007,38.33,-7.76%
Nov 2007,41.41,8.05%
Dec 2007,36.68,-11.43%
Jan 2008,40.55,10.56%
Feb 2008,41.72,2.87%
Mar 2008,49.64,18.99%
Apr 2008,49.24,-0.81%
May 2008,55.61,12.93%
Jun 2008,60.38,8.58%
Jul 2008,61.26,1.46%
Aug 2008,48.52,-20.79%
Sep 2008,41.92,-13.61%
Oct 2008,44.26,5.60%
Nov 2008,41.65,-5.90%
Dec 2008,36.97,-11.25%
Jan 2009,38.1,3.05%
Feb 2009,37.9,-0.51%
Mar 2009,43.58,14.98%
Apr 2009,45.06,3.41%
May 2009,43.2,-4.15%
Jun 2009,39.17,-9.31%
Jul 2009,34.93,-10.85%
Aug 2009,40.59,16.21%
Sep 2009,49.89,22.92%
Oct 2009,53.73,7.69%
Nov 2009,53.55,-0.33%
Dec 2009,47.1,-12.06%
Jan 2010,50.06,6.29%
Feb 2010,45.4,-9.31%
Mar 2010,43.22,-4.79%
Apr 2010,44.05,1.92%
May 2010,48.06,9.09%
