Month,Price,Change
Mar 2004,10704.51,-
Apr 2004,10576.95,-1.19%
May 2004,10496.17,-0.76%
Jun 2004,10423.14,-0.70%
Jul 2004,10624.57,1.93%
Aug 2004,11075.83,4.25%
Sep 2004,10844.58,-2.09%
Oct 2004,11171.22,3.01%
Nov 2004,11693.09,4.67%
Dec 2004,12237.56,4.66%
Jan 2005,12558.21,2.62%
Feb 2005,12666.33,0.86%
Mar 2005,12790.25,0.98%
Apr 2005,13002.06,1.66%
May 2005,12777.78,-1.72%
Jun 2005,12421.98,-2.78%
Jul 2005,12048.97,-3.00%
Aug 2005,12337.41,2.39%
Sep 2005,12527.18,1.54%
Oct 2005,12837.16,2.47%
Nov 2005,12700.43,-1.07%
Dec 2005,12807.1,0.84%
Jan 2006,12931.06,0.97%
Feb 2006,13365.81,3.36%
Mar 2006,13498.31,0.99%
Apr 2006,13585.96,0.65%
May 2006,13986,2.94%
Jun 2006,14392.33,2.91%
Jul 2006,14652.28,1.81%
Aug 2006,14551.38,-0.69%
Sep 2006,14260.6,-2.00%
Oct 2006,13686,-4.03%
Nov 2006,13288.89,-2.90%
Dec 2006,13613.52,2.44%
Jan 2007,13878.25,1.94%
Feb 2007,13911.14,0.24%
Mar 2007,14029.61,0.85%
Apr 2007,13340.81,-4.91%
May 2007,12955.54,-2.89%
Jun 2007,13176.32,1.70%
Jul 2007,13288.9,0.85%
Aug 2007,13367.77,0.59%
Sep 2007,13110.5,-1.92%
Oct 2007,13007.74,-0.78%
Nov 2007,13488.48,3.70%
Dec 2007,14224.83,5.46%
Jan 2008,14788.4,3.96%
Feb 2008,18464.3,24.86%
Mar 2008,23971.86,29.83%
Apr 2008,36307.71,51.46%
May 2008,37988.78,4.63%
Jun 2008,32414.74,-14.67%
Jul 2008,31345.63,-3.30%
Aug 2008,29778.16,-5.00%
Sep 2008,31156.66,4.63%
Oct 2008,29635.27,-4.88%
Nov 2008,27049.84,-8.72%
Dec 2008,25867.77,-4.37%
Jan 2009,28327.2,9.51%
Feb 2009,29078.03,2.65%
Mar 2009,30159.58,3.72%
Apr 2009,27522.62,-8.74%
May 2009,25868.62,-6.01%
Jun 2009,27445.95,6.10%
Jul 2009,27746.42,1.09%
