Month,Price,Change
Jan 1995,10.35,-
Feb 1995,10.04,-3.02%
Mar 1995,10.13,0.87%
Apr 1995,9.42,-6.95%
May 1995,9.42,0.01%
Jun 1995,9.73,3.29%
Jul 1995,9.41,-3.30%
Aug 1995,9.16,-2.68%
Sep 1995,8.65,-5.60%
Oct 1995,8.99,3.90%
Nov 1995,9.03,0.54%
Dec 1995,9.44,4.48%
Jan 1996,10.01,6.10%
Feb 1996,10.25,2.36%
Mar 1996,9.64,-5.92%
Apr 1996,8.9,-7.70%
May 1996,8.75,-1.74%
Jun 1996,9.45,8.00%
Jul 1996,9.95,5.29%
Aug 1996,9.64,-3.12%
Sep 1996,9.29,-3.60%
Oct 1996,8.91,-4.08%
Nov 1996,8.58,-3.75%
Dec 1996,8.6,0.29%
Jan 1997,8.61,0.09%
Feb 1997,8.61,0.04%
Mar 1997,8.61,-0.05%
Apr 1997,8.95,4.02%
May 1997,8.6,-4.01%
Jun 1997,8.95,4.15%
Jul 1997,8.93,-0.21%
Aug 1997,9.34,4.55%
Sep 1997,9.1,-2.54%
Oct 1997,9.06,-0.51%
Nov 1997,9.66,6.65%
Dec 1997,10.59,9.63%
Jan 1998,9.84,-7.09%
Feb 1998,9.34,-5.08%
Mar 1998,8.69,-6.94%
Apr 1998,8.33,-4.18%
May 1998,8.07,-3.04%
Jun 1998,7.6,-5.82%
Jul 1998,8.08,6.21%
Aug 1998,8.12,0.54%
Sep 1998,6.8,-16.22%
Oct 1998,6.78,-0.41%
Nov 1998,7.63,12.59%
Dec 1998,7.66,0.42%
Jan 1999,7.65,-0.11%
Feb 1999,6.37,-16.74%
Mar 1999,5.52,-13.40%
Apr 1999,5.13,-7.06%
May 1999,5.56,8.45%
Jun 1999,5.61,0.86%
Jul 1999,5.19,-7.37%
Aug 1999,5.65,8.77%
Sep 1999,6.53,15.59%
Oct 1999,6.52,-0.19%
Nov 1999,6.08,-6.79%
Dec 1999,5.65,-6.96%
Jan 2000,5.23,-7.55%
Feb 2000,5.23,0.14%
Mar 2000,4.79,-8.38%
Apr 2000,5.67,18.32%
May 2000,6.6,16.26%
Jun 2000,8.04,21.97%
Jul 2000,9.4,16.89%
Aug 2000,10.51,11.76%
Sep 2000,10.1,-3.94%
Oct 2000,11.12,10.20%
Nov 2000,10.29,-7.49%
Dec 2000,10.29,-0.07%
Jan 2001,10.7,4.07%
Feb 2001,10.23,-4.39%
Mar 2001,9.32,-8.89%
Apr 2001,8.89,-4.66%
May 2001,9.85,10.84%
Jun 2001,9.4,-4.58%
Jul 2001,8.96,-4.72%
Aug 2001,8.48,-5.29%
Sep 2001,8.1,-4.51%
Oct 2001,7.2,-11.07%
Nov 2001,8.16,13.28%
Dec 2001,8.15,-0.17%
Jan 2002,8.22,0.87%
Feb 2002,6.82,-17.04%
Mar 2002,7.31,7.25%
Apr 2002,7.34,0.37%
May 2002,6.37,-13.19%
Jun 2002,6.36,-0.08%
Jul 2002,6.83,7.26%
Aug 2002,6.8,-0.36%
Sep 2002,7.27,6.81%
Oct 2002,8.22,13.17%
Nov 2002,8.2,-0.24%
Dec 2002,8.66,5.62%
Jan 2003,8.63,-0.43%
Feb 2003,9.55,10.66%
Mar 2003,8.58,-10.18%
Apr 2003,8.05,-6.08%
May 2003,7.53,-6.47%
Jun 2003,7.01,-6.97%
Jul 2003,6.94,-1.04%
Aug 2003,6.89,-0.65%
Sep 2003,5.96,-13.49%
Oct 2003,5.9,-1.00%
Nov 2003,5.92,0.29%
Dec 2003,6.38,7.86%
Jan 2004,5.91,-7.43%
Feb 2004,5.89,-0.39%
Mar 2004,6.3,7.08%
Apr 2004,6.59,4.57%
May 2004,6.33,-3.89%
Jun 2004,6.83,7.79%
Jul 2004,7.83,14.65%
Aug 2004,7.88,0.65%
Sep 2004,7.84,-0.53%
Oct 2004,8.7,11.00%
Nov 2004,8.12,-6.65%
Dec 2004,7.92,-2.51%
Jan 2005,8.31,5.02%
Feb 2005,8.74,5.07%
Mar 2005,8.74,0.03%
Apr 2005,8.31,-4.89%
May 2005,8.26,-0.57%
Jun 2005,8.72,5.49%
Jul 2005,9.14,4.88%
Aug 2005,9.6,4.97%
Sep 2005,10.1,5.24%
Oct 2005,11.21,10.94%
Nov 2005,11.43,2.02%
Dec 2005,13.24,15.83%
Jan 2006,15.54,17.36%
Feb 2006,17.73,14.11%
Mar 2006,16.9,-4.69%
Apr 2006,17.53,3.73%
May 2006,16.8,-4.16%
Jun 2006,15.66,-6.80%
Jul 2006,16.26,3.84%
Aug 2006,13.96,-14.13%
Sep 2006,12.45,-10.81%
Oct 2006,11.82,-5.07%
Nov 2006,11.66,-1.34%
Dec 2006,11.6,-0.50%
Jan 2007,10.64,-8.30%
Feb 2007,10.16,-4.55%
Mar 2007,10.13,-0.31%
Apr 2007,8.85,-12.58%
May 2007,8.57,-3.22%
Jun 2007,8.15,-4.83%
Jul 2007,8.89,9.07%
Aug 2007,8.98,0.99%
Sep 2007,8.87,-1.17%
Oct 2007,8.69,-2.05%
Nov 2007,8.68,-0.19%
Dec 2007,9.47,9.09%
Jan 2008,10.24,8.15%
Feb 2008,11.92,16.43%
Mar 2008,11.7,-1.81%
Apr 2008,11.21,-4.23%
May 2008,11.37,1.48%
Jun 2008,11.56,1.65%
Jul 2008,13.28,14.86%
Aug 2008,13.74,3.47%
Sep 2008,13.67,-0.52%
Oct 2008,12.65,-7.48%
Nov 2008,13.23,4.62%
Dec 2008,12.65,-4.41%
Jan 2009,13.68,8.13%
Feb 2009,14.27,4.38%
Mar 2009,15.38,7.75%
Apr 2009,15.02,-2.34%
May 2009,16.99,13.09%
Jun 2009,17.2,1.25%
Jul 2009,19.89,15.64%
Aug 2009,23.68,19.05%
Sep 2009,24.7,4.34%
Oct 2009,23.36,-5.44%
Nov 2009,22.82,-2.32%
Dec 2009,24.25,6.26%
Jan 2010,26.64,9.86%
Feb 2010,25.94,-2.61%
Mar 2010,18.65,-28.09%
Apr 2010,16.02,-14.12%
May 2010,15.56,-2.86%
Jun 2010,16.3,4.73%
Jul 2010,17.81,9.29%
Aug 2010,19.09,7.19%
Sep 2010,23.02,20.56%
Oct 2010,23.99,4.20%
Nov 2010,26.03,8.52%
Dec 2010,28,7.59%
Jan 2011,29.5,5.34%
Feb 2011,29.55,0.16%
Mar 2011,26.09,-11.68%
Apr 2011,23.97,-8.15%
May 2011,21.55,-10.09%
Jun 2011,25.12,16.55%
Jul 2011,27.54,9.64%
Aug 2011,27.62,0.30%
Sep 2011,28.16,1.95%
Oct 2011,27.57,-2.08%
Nov 2011,26.87,-2.57%
Dec 2011,26.85,-0.07%
Jan 2012,26.64,-0.78%
Feb 2012,26.06,-2.18%
Mar 2012,26.67,2.36%
Apr 2012,25.9,-2.89%
May 2012,25,-3.50%
Jun 2012,25.21,0.87%
Jul 2012,27.76,10.11%
Aug 2012,25.56,-7.95%
Sep 2012,24.01,-6.07%
Oct 2012,23.83,-0.73%
Nov 2012,23.53,-1.27%
Dec 2012,23.48,-0.19%
Jan 2013,22.81,-2.87%
Feb 2013,21.5,-5.76%
Mar 2013,22.3,3.73%
Apr 2013,21.21,-4.90%
May 2013,21.46,1.21%
Jun 2013,22.16,3.27%
Jul 2013,22.12,-0.21%
Aug 2013,24.02,8.59%
Sep 2013,24.2,0.76%
Oct 2013,25.27,4.41%
Nov 2013,24.46,-3.22%
Dec 2013,22.3,-8.81%
Jan 2014,21.13,-5.27%
Feb 2014,23.05,9.08%
Mar 2014,23.78,3.18%
Apr 2014,23.54,-1.00%
May 2014,23.74,0.84%
Jun 2014,23.89,0.62%
Jul 2014,24.03,0.59%
Aug 2014,23.14,-3.68%
Sep 2014,21.31,-7.91%
Oct 2014,22.7,6.52%
Nov 2014,22.2,-2.18%
Dec 2014,21.32,-3.97%
Jan 2015,21.13,-0.92%
Feb 2015,19.85,-6.05%
Mar 2015,18.11,-8.76%
Apr 2015,18.1,-0.08%
May 2015,18.5,2.26%
Jun 2015,17.24,-6.82%
Jul 2015,17.82,3.35%
Aug 2015,16.27,-8.71%
Sep 2015,17.22,5.83%
Oct 2015,20.17,17.18%
Nov 2015,21.14,4.77%
Dec 2015,21.31,0.83%
Jan 2016,20.86,-2.11%
Feb 2016,19.79,-5.13%
Mar 2016,22.8,15.21%
Apr 2016,22.6,-0.88%
May 2016,25.42,12.47%
Jun 2016,28.93,13.83%
Jul 2016,28.9,-0.10%
Aug 2016,29.45,1.90%
Sep 2016,31.37,6.51%
Oct 2016,32.71,4.28%
Nov 2016,30.39,-7.10%
Dec 2016,27.84,-8.39%
Jan 2017,30.65,10.09%
Feb 2017,30.2,-1.48%
Mar 2017,26.37,-12.68%
Apr 2017,23.22,-11.91%
